Journal Report 1 (R4)	Number of Successful Full-Text Article Requests by Month and Journal																				
Universität Regensburg																					
2000374973																					
Period covered by Report:																					
2014-01-01 to 2014-12-31																					
Date run:																					
2015-03-17																					
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2014	Feb-2014	Mar-2014	Apr-2014	May-2014	Jun-2014	Jul-2014	Aug-2014	Sep-2014	Oct-2014	Nov-2014	Dec-2014
Journal of Cancer Research and Clinical Oncology	Springer	SpringerLink	10.1007/432.1432-1335	432	0171-5216	1432-1335	154	4	115	20	17	16	7	21	14	11	5	6	16	15	6
Journal of Cancer Survivorship	Springer	SpringerLink	10.1007/11764.1932-2267	11764	1932-2259	1932-2267	4	1	3	1	0	0	0	0	0	0	0	1	0	2	0
Journal of Cardiothoracic Surgery	Springer	SpringerLink		13019		1749-8090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Cardiovascular Magnetic Resonance	Springer	SpringerLink		12968		1532-429X	36	16	19	1	0	0	0	1	0	0	34	0	0	0	0
Journal of Cardiovascular Translational Research	Springer	SpringerLink	10.1007/12265.1937-5395	12265	1937-5387	1937-5395	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Journal of Career Development	Springer	SpringerLink		10871	0894-8453	1573-3548	17	0	8	1	0	5	0	2	0	0	1	2	2	0	4
Journal of Cell Communication and Signaling	Springer	SpringerLink	10.1007/12079.1873-961X	12079	1873-9601	1873-961X	11	2	7	1	3	1	0	0	3	0	2	1	0	0	0
Journal of Central South University	Springer	SpringerLink	10.1007/11771.2227-5223	11771	2095-2899	2227-5223	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Journal of Chemical Biology	Springer	SpringerLink	10.1007/12154.1864-6166	12154	1864-6158	1864-6166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Chemical Crystallography	Springer	SpringerLink	10.1007/10870.1572-8854	10870	1074-1542	1572-8854	34	1	21	1	4	1	4	4	2	4	0	7	0	7	0
Journal of Chemical Ecology	Springer	SpringerLink	10.1007/10886.1573-1561	10886	0098-0331	1573-1561	535	34	294	73	44	76	54	38	21	19	54	47	37	52	20
Journal of Chemical Sciences	Springer	SpringerLink	10.1007/12039.0973-7103	12039	0974-3626	0973-7103	30	1	18	2	7	0	3	3	5	2	0	3	2	2	1
Journal of Cheminformatics	Springer	SpringerLink		13321		1758-2946	7	0	4	2	0	0	0	0	0	0	0	2	0	3	0
Journal of Child & Adolescent Trauma	Springer	SpringerLink		40653	1936-1521	1936-153X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Child and Adolescent Group Therapy	Springer	SpringerLink		10821	1053-0800	1573-3467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Child and Family Studies	Springer	SpringerLink	10.1007/10826.1573-2843	10826	1062-1024	1573-2843	8	0	5	0	0	1	2	1	0	2	0	0	0	2	0
Journal of Children's Orthopaedics	Springer	SpringerLink	10.1007/11832.1863-2548	11832	1863-2521	1863-2548	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Journal of Chinese Management	Springer	SpringerLink		40527		2195-9897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Chinese Political Science	Springer	SpringerLink	10.1007/11366.1874-6357	11366	1080-6954	1874-6357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Circadian Rhythms	Springer	SpringerLink		12973		1740-3391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Civil Structural Health Monitoring	Springer	SpringerLink	10.1007/13349.2190-5479	13349	2190-5452	2190-5479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Classification	Springer	SpringerLink	10.1007/357.1432-1343	357	0176-4268	1432-1343	5	0	3	1	0	0	1	0	2	1	0	0	0	0	0
Journal of Clinical Bioinformatics	Springer	SpringerLink		13336		2043-9113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Clinical Geropsychology	Springer	SpringerLink		10873	1079-9362	1573-3556	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Journal of Clinical Immunology	Springer	SpringerLink	10.1007/10875.1573-2592	10875	0271-9142	1573-2592	47	11	30	4	2	6	4	4	2	5	4	2	10	2	2
Journal of Clinical Monitoring and Computing	Springer	SpringerLink	10.1007/10877.1573-2614	10877	1387-1307	1573-2614	33	1	27	6	7	6	1	3	0	1	1	2	3	1	2
Journal of Clinical Movement Disorders	Springer	SpringerLink		40734		2054-7072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Clinical Psychology in Medical Settings	Springer	SpringerLink	10.1007/10880.1573-3572	10880	1068-9583	1573-3572	15	3	10	0	1	0	0	0	11	0	0	3	0	0	0
Journal of Cloud Computing	Springer	SpringerLink		13677		2192-113X	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0
Journal of Cluster Science	Springer	SpringerLink	10.1007/10876.1572-8862	10876	1040-7278	1572-8862	4	0	3	0	1	0	0	0	0	1	0	0	1	1	0
Journal of Coal Science and Engineering (China)	Springer	SpringerLink	10.1007/12404.1866-6566	12404	1006-9097	1866-6566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Coastal Conservation	Springer	SpringerLink	10.1007/11852.1874-7841	11852	1400-0350	1874-7841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Coatings Technology	Springer	SpringerLink		12166	0361-8773	1935-3804	2	0	2	0	0	0	0	0	0	0	0	0	0	1	1
Journal of Coatings Technology and Research	Springer	SpringerLink	10.1007/11998.1935-3804	11998	1547-0091	1935-3804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Combinatorial Optimization	Springer	SpringerLink	10.1007/10878.1573-2886	10878	1382-6905	1573-2886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Communications Technology and Electronics	Springer	SpringerLink	10.1134/11487.1555-6557	11487	1064-2269	1555-6557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Community Genetics	Springer	SpringerLink	10.1007/12687.1868-6001	12687	1868-310X	1868-6001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Community Health	Springer	SpringerLink	10.1007/10900.1573-3610	10900	0094-5145	1573-3610	6	0	5	0	0	0	0	1	2	1	1	0	1	0	0
Journal of Comparative Physiology A	Springer	SpringerLink	10.1007/359.1432-1351	359	0340-7594	1432-1351	185	6	77	17	11	17	33	21	17	10	26	12	6	13	2
Journal of Comparative Physiology B	Springer	SpringerLink	10.1007/360.1432-136X	360	0174-1578	1432-136X	17	0	9	3	2	1	0	1	1	0	2	0	3	3	1
Journal of Comparative Policy Analysis	Springer	SpringerLink		10829	1387-6988	1572-5448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Compassionate Health Care	Springer	SpringerLink		40639		2053-2393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Computational Analysis and Applications	Springer	SpringerLink		10819	1521-1398	1572-9206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Computational Electronics	Springer	SpringerLink	10.1007/10825.1572-8137	10825	1569-8025	1572-8137	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Journal of Computational Neuroscience	Springer	SpringerLink	10.1007/10827.1573-6873	10827	0929-5313	1573-6873	13	1	9	2	0	2	0	0	0	1	0	2	0	6	0
Journal of Computational Surgery	Springer	SpringerLink		40244		2194-3990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Computer Science and Technology	Springer	SpringerLink	10.1007/11390.1860-4749	11390	1000-9000	1860-4749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Computer Virology and Hacking Techniques	Springer	SpringerLink	10.1007/11416.1772-9904	11416		2263-8733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Computer and Systems Sciences International	Springer	SpringerLink	10.1134/11488.1555-6530	11488	1064-2307	1555-6530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Computer-Aided Molecular Design	Springer	SpringerLink	10.1007/10822.1573-4951	10822	0920-654X	1573-4951	42	0	32	2	0	3	2	6	1	4	3	5	4	8	4
Journal of Computer-Assisted Microscopy	Springer	SpringerLink		10860	1040-7286	1573-8671	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Journal of Computers in Education	Springer	SpringerLink		40692	2197-9987	2197-9995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Computing in Higher Education	Springer	SpringerLink	10.1007/12528.1867-1233	12528	1042-1726	1867-1233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Consumer Policy	Springer	SpringerLink	10.1007/10603.1573-0700	10603	0168-7034	1573-0700	31	0	22	8	1	0	3	2	2	1	1	1	1	11	0
Journal of Contemporary Mathematical Analysis	Springer	SpringerLink		11957	1068-3623	1934-9416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Contemporary Physics (Armenian Academy of Sciences)	Springer	SpringerLink		11958	1068-3372	1934-9378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Contemporary Psychotherapy	Springer	SpringerLink	10.1007/10879.1573-3564	10879	0022-0116	1573-3564	14	3	6	0	2	3	0	0	0	1	3	2	0	0	3
Journal of Control, Automation and Electrical Systems	Springer	SpringerLink		40313	2195-3880	2195-3899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Crop Science and Biotechnology	Springer	SpringerLink	10.1007/12892.2005-8276	12892	1975-9479	2005-8276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Cross-Cultural Gerontology	Springer	SpringerLink	10.1007/10823.1573-0719	10823	0169-3816	1573-0719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Cryptographic Engineering	Springer	SpringerLink	10.1007/13389.2190-8516	13389	2190-8508	2190-8516	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Journal of Cryptology	Springer	SpringerLink	10.1007/145.1432-1378	145	0933-2790	1432-1378	4	0	3	0	0	0	0	1	0	0	0	3	0	0	0
Journal of Cultural Economics	Springer	SpringerLink	10.1007/10824.1573-6997	10824	0885-2545	1573-6997	6	1	1	3	1	0	1	0	0	0	0	0	0	1	0
Journal of Cutaneous Medicine and Surgery	Springer	SpringerLink		10227	1203-4754	1615-7109	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Journal of Developmental and Physical Disabilities	Springer	SpringerLink	10.1007/10882.1573-3580	10882	1056-263X	1573-3580	12	1	5	4	1	2	1	2	0	2	0	0	0	0	0
Journal of Diabetes & Metabolic Disorders	Springer	SpringerLink		40200		2251-6581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Digital Imaging	Springer	SpringerLink	10.1007/10278.1618-727X	10278	0897-1889	1618-727X	6	0	5	0	0	0	0	3	1	0	0	0	1	1	0
Journal of Dynamic Behavior of Materials	Springer	SpringerLink		40870	2199-7446	2199-7454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Dynamical and Control Systems	Springer	SpringerLink	10.1007/10883.1573-8698	10883	1079-2724	1573-8698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Dynamics and Differential Equations	Springer	SpringerLink	10.1007/10884.1572-9222	10884	1040-7294	1572-9222	3	0	1	0	0	3	0	0	0	0	0	0	0	0	0
Journal of Earth Science	Springer	SpringerLink	10.1007/12583.1867-111X	12583	1674-487X	1867-111X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Earth System Science	Springer	SpringerLink		12040	0253-4126	0973-774X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of East Asian Linguistics	Springer	SpringerLink	10.1007/10831.1572-8560	10831	0925-8558	1572-8560	11	0	9	0	1	0	0	1	0	0	5	0	0	1	3
Journal of Eating Disorders	Springer	SpringerLink		40337		2050-2974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Echocardiography	Springer	SpringerLink	10.1007/12574.1880-344X	12574	1349-0222	1880-344X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Economic Growth	Springer	SpringerLink	10.1007/10887.1573-7020	10887	1381-4338	1573-7020	102	0	76	21	5	7	1	5	0	4	2	1	40	15	1
Journal of Economic Interaction and Coordination	Springer	SpringerLink	10.1007/11403.1860-7128	11403	1860-711X	1860-7128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Economic Structures	Springer	SpringerLink	10.1007/40008.2193-2409	40008		2193-2409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Economics	Springer	SpringerLink	10.1007/712.1617-7134	712	0931-8658	1617-7134	41	0	21	5	1	0	10	3	0	3	6	3	7	3	0
Journal of Economics and Finance	Springer	SpringerLink	10.1007/12197.1938-9744	12197	1055-0925	1938-9744	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0
Journal of Educational Change	Springer	SpringerLink	10.1007/10833.1573-1812	10833	1389-2843	1573-1812	5	0	3	0	0	0	0	1	1	0	3	0	0	0	0
Journal of Elasticity	Springer	SpringerLink	10.1007/10659.1573-2681	10659	0374-3535	1573-2681	3	0	1	0	0	0	1	0	0	0	0	0	0	2	0
Journal of Electroceramics	Springer	SpringerLink	10.1007/10832.1573-8663	10832	1385-3449	1573-8663	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0
Journal of Electronic Materials	Springer	SpringerLink	10.1007/11664.1543-186X	11664	0361-5235	1543-186X	52	0	23	4	3	3	4	6	2	3	1	5	14	6	1
Journal of Electronic Testing	Springer	SpringerLink	10.1007/10836.1573-0727	10836	0923-8174	1573-0727	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Journal of Electronics (China)	Springer	SpringerLink	10.1007/11767.1993-0615	11767	0217-9822	1993-0615	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Journal of Elementary Science Education	Springer	SpringerLink		13270	1090-185X		1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Journal of Endocrinological Investigation	Springer	SpringerLink		40618		1720-8386	10	0	5	0	0	1	0	6	0	3	0	0	0	0	0
Journal of Engineering Mathematics	Springer	SpringerLink	10.1007/10665.1573-2703	10665	0022-0833	1573-2703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Engineering Physics and Thermophysics	Springer	SpringerLink	10.1007/10891.1573-871X	10891	1062-0125	1573-871X	2	0	2	0	0	0	1	1	0	0	0	0	0	0	0
Journal of Engineering Research	Springer	SpringerLink		40632	2307-1877	2307-1885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Engineering Thermophysics	Springer	SpringerLink	10.1134/11823.1990-5432	11823	1810-2328	1990-5432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Environmental Health Science and Engineering	Springer	SpringerLink		40201		2052-336X	3	0	3	0	0	0	0	0	0	0	0	3	0	0	0
Journal of Environmental Studies and Sciences	Springer	SpringerLink	10.1007/13412.2190-6491	13412	2190-6483	2190-6491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Ethnobiology and Ethnomedicine	Springer	SpringerLink		13002		1746-4269	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Journal of Ethology	Springer	SpringerLink	10.1007/10164.1439-5444	10164	0289-0771	1439-5444	13	0	3	3	1	0	3	0	2	0	2	0	0	1	1
Journal of Evolution Equations	Springer	SpringerLink	10.1007/28.1424-3202	28	1424-3199	1424-3202	12	0	10	0	2	0	1	1	0	2	1	3	0	0	2
Journal of Evolutionary Biochemistry and Physiology	Springer	SpringerLink	10.1134/10893.1608-3202	10893	0022-0930	1608-3202	7	0	3	2	0	1	0	0	2	0	1	0	1	0	0
Journal of Evolutionary Economics	Springer	SpringerLink	10.1007/191.1432-1386	191	0936-9937	1432-1386	28	1	15	2	4	10	2	1	2	0	2	3	1	1	0
Journal of Experimental & Clinical Cancer Research	Springer	SpringerLink		13046		1756-9966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Experimental Criminology	Springer	SpringerLink	10.1007/11292.1572-8315	11292	1573-3750	1572-8315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Experimental Orthopaedics	Springer	SpringerLink		40634		2197-1153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Experimental and Theoretical Physics	Springer	SpringerLink	10.1134/11447.1090-6509	11447	1063-7761	1090-6509	29	0	21	2	2	4	2	1	1	5	0	5	2	4	1
Journal of Failure Analysis and Prevention	Springer	SpringerLink	10.1007/11668.1864-1245	11668	1547-7029	1864-1245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Family Violence	Springer	SpringerLink	10.1007/10896.1573-2851	10896	0885-7482	1573-2851	14	1	9	2	1	2	1	1	2	0	0	2	3	0	0
Journal of Family and Economic Issues	Springer	SpringerLink	10.1007/10834.1573-3475	10834	1058-0476	1573-3475	7	0	6	0	2	0	0	0	0	0	0	0	3	2	0
Journal of Fetal Medicine	Springer	SpringerLink		40556	2348-1153	2348-8859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Financial Services Research	Springer	SpringerLink	10.1007/10693.1573-0735	10693	0920-8550	1573-0735	36	0	25	2	7	1	9	4	1	3	3	3	1	0	2
Journal of Fixed Point Theory and Applications	Springer	SpringerLink	10.1007/11784.1661-7746	11784	1661-7738	1661-7746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Fluorescence	Springer	SpringerLink	10.1007/10895.1573-4994	10895	1053-0509	1573-4994	115	2	86	9	7	10	10	9	9	9	8	19	8	11	6
Journal of Food Measurement and Characterization	Springer	SpringerLink		11694	2193-4126	2193-4134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Food Science and Technology	Springer	SpringerLink	10.1007/13197.0975-8402	13197	0022-1155	0975-8402	5	0	3	0	2	1	0	0	0	2	0	0	0	0	0
Journal of Foot and Ankle Research	Springer	SpringerLink		13047		1757-1146	4	0	3	0	0	0	0	0	2	0	0	0	0	0	2
Journal of Forest Research	Springer	SpringerLink	10.1007/10310.1610-7403	10310	1341-6979	1610-7403	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Journal of Forestry Research	Springer	SpringerLink	10.1007/11676.1993-0607	11676	1007-662X	1993-0607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Fourier Analysis and Applications	Springer	SpringerLink	10.1007/41.1531-5851	41	1069-5869	1531-5851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Friction and Wear	Springer	SpringerLink		11959	1068-3666	1934-9386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Fusion Energy	Springer	SpringerLink	10.1007/10894.1572-9591	10894	0164-0313	1572-9591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Gambling Studies	Springer	SpringerLink	10.1007/10899.1573-3602	10899		1573-3602	10	0	4	1	2	3	3	0	0	0	0	1	0	0	0
Journal of Gastroenterology	Springer	SpringerLink	10.1007/535.1435-5922	535	0944-1174	1435-5922	38	0	27	5	10	4	5	4	1	4	1	0	0	2	2
Journal of Gastrointestinal Cancer	Springer	SpringerLink	10.1007/12029.1941-6636	12029	1941-6628	1941-6636	16	0	9	3	0	2	0	5	0	2	0	0	4	0	0
Journal of Gastrointestinal Surgery	Springer	SpringerLink	10.1007/11605.1873-4626	11605	1091-255X	1873-4626	108	5	97	7	12	19	21	13	3	3	5	5	14	1	5
Journal of Gender, Culture and Health	Springer	SpringerLink		10925	1087-3201	1573-367X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of General Internal Medicine	Springer	SpringerLink	10.1007/11606.1525-1497	11606	0884-8734	1525-1497	59	4	38	3	7	7	11	1	4	6	2	2	3	6	7
Journal of General Plant Pathology	Springer	SpringerLink	10.1007/10327.1610-739X	10327	1345-2630	1610-739X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Genetic Counseling	Springer	SpringerLink	10.1007/10897.1573-3599	10897	1059-7700	1573-3599	19	2	13	2	0	2	3	2	1	4	0	1	0	4	0
Journal of Genetics	Springer	SpringerLink	10.1007/12041.0973-7731	12041	0022-1333	0973-7731	21	0	11	9	3	1	0	0	0	0	0	2	0	4	2
Journal of Geodesy	Springer	SpringerLink	10.1007/190.1432-1394	190	0949-7714	1432-1394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Geographical Sciences	Springer	SpringerLink	10.1007/11442.1861-9568	11442	1009-637X	1861-9568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Geographical Systems	Springer	SpringerLink	10.1007/10109.1435-5949	10109	1435-5930	1435-5949	16	0	12	2	3	0	1	3	4	1	0	0	0	0	2
Journal of Geometry	Springer	SpringerLink	10.1007/22.1420-8997	22	0047-2468	1420-8997	3	0	2	0	0	0	0	0	0	0	0	0	2	0	1
Journal of Global Entrepreneurship Research	Springer	SpringerLink		40497	2228-7566	2251-7316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Global Optimization	Springer	SpringerLink	10.1007/10898.1573-2916	10898	0925-5001	1573-2916	4	0	2	0	0	0	1	0	0	0	0	0	1	0	2
Journal of Global Policy and Governance	Springer	SpringerLink	10.1007/40320.2194-7759	40320	2194-7740	2194-7759	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Journal of Grid Computing	Springer	SpringerLink	10.1007/10723.1572-9184	10723	1570-7873	1572-9184	3	0	3	0	0	0	0	0	2	0	0	0	0	0	1
Journal of Hand and Microsurgery	Springer	SpringerLink	10.1007/12593.0974-6897	12593	0974-3227	0974-6897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Happiness Studies	Springer	SpringerLink	10.1007/10902.1573-7780	10902	1389-4978	1573-7780	47	5	25	5	2	7	9	5	4	0	9	2	3	1	0
Journal of Heat Treating	Springer	SpringerLink		136	0190-9177		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Hematology & Oncology	Springer	SpringerLink		13045		1756-8722	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0
Journal of Hematopathology	Springer	SpringerLink	10.1007/12308.1865-5785	12308	1868-9256	1865-5785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Hepato-Biliary-Pancreatic Sciences	Springer	SpringerLink		534	1868-6974	1868-6982	3	0	3	1	2	0	0	0	0	0	0	0	0	0	0
Journal of Heuristics	Springer	SpringerLink	10.1007/10732.1572-9397	10732	1381-1231	1572-9397	7	0	5	0	1	2	1	0	0	0	0	0	0	2	1
Journal of High Energy Physics	Springer	SpringerLink	10.1007/13130.1029-8479	13130		1029-8479	67	0	47	7	2	10	3	6	1	7	4	8	5	10	4
Journal of Homotopy and Related Structures	Springer	SpringerLink	10.1007/40062.1512-2891	40062	2193-8407	1512-2891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Housing and the Built Environment	Springer	SpringerLink	10.1007/10901.1573-7772	10901	1566-4910	1573-7772	12	0	7	1	2	1	2	0	1	2	1	1	0	1	0
Journal of Huazhong University of Science and Technology [Medical Sciences]	Springer	SpringerLink	10.1007/11596.1993-1352	11596	1672-0733	1993-1352	2	0	1	0	0	0	0	0	0	0	1	0	0	1	0
Journal of Human Genetics	Springer	SpringerLink		10038	1434-5161	1435-232X	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Journal of Ichthyology	Springer	SpringerLink	10.1134/11489.1555-6425	11489	0032-9452	1555-6425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Immigrant and Minority Health	Springer	SpringerLink	10.1007/10903.1557-1920	10903	1557-1912	1557-1920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Immune Based Therapies and Vaccines	Springer	SpringerLink		12949		1476-8518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Inclusion Phenomena and Macrocyclic Chemistry	Springer	SpringerLink	10.1007/10847.1573-1111	10847	1388-3127	1573-1111	94	9	51	2	6	5	7	6	6	8	14	11	12	11	6
Journal of Indian Philosophy	Springer	SpringerLink	10.1007/10781.1573-0395	10781	0022-1791	1573-0395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Industrial Engineering International	Springer	SpringerLink	10.1007/40092.2251-712X	40092	1735-5702	2251-712X	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Journal of Industrial Microbiology & Biotechnology	Springer	SpringerLink	10.1007/10295.1476-5535	10295	1367-5435	1476-5535	34	0	27	4	8	2	0	1	7	5	0	3	3	1	0
Journal of Industry, Competition and Trade	Springer	SpringerLink	10.1007/10842.1573-7012	10842	1566-1679	1573-7012	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0
Journal of Inequalities and Applications	Springer	SpringerLink	10.1007/13660.1029-242X	13660		1029-242X	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Journal of Infection and Chemotherapy	Springer	SpringerLink	10.1007/10156.1437-7780	10156	1341-321X	1437-7780	12	1	7	4	0	4	1	0	0	1	0	0	0	2	0
Journal of Inflammation	Springer	SpringerLink		12950		1476-9255	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0
Journal of Infrared, Millimeter, and Terahertz Waves	Springer	SpringerLink	10.1007/10762.1866-6906	10762	1866-6892	1866-6906	42	6	28	2	6	12	2	5	7	1	1	3	2	0	1
Journal of Inherited Metabolic Disease	Springer	SpringerLink	10.1007/10545.1573-2665	10545	0141-8955	1573-2665	101	3	71	10	2	9	14	3	5	17	7	10	9	6	9
Journal of Innovation and Entrepreneurship	Springer	SpringerLink	10.1007/13731.2192-5372	13731		2192-5372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Inorganic and Organometallic Polymers and Materials	Springer	SpringerLink	10.1007/10904.1574-1451	10904	1574-1443	1574-1451	4	0	1	0	1	0	2	0	0	0	0	0	0	0	1
Journal of Insect Behavior	Springer	SpringerLink	10.1007/10905.1572-8889	10905	0892-7553	1572-8889	88	2	46	4	11	4	4	9	2	6	13	6	10	15	4
Journal of Insect Conservation	Springer	SpringerLink	10.1007/10841.1572-9753	10841	1366-638X	1572-9753	123	14	74	3	22	9	11	2	11	0	7	15	23	20	0
Journal of Intelligent & Robotic Systems	Springer	SpringerLink	10.1007/10846.1573-0409	10846	0921-0296	1573-0409	3	0	3	0	0	0	0	2	0	0	0	1	0	0	0
Journal of Intelligent Information Systems	Springer	SpringerLink	10.1007/10844.1573-7675	10844	0925-9902	1573-7675	9	0	6	0	3	0	0	0	2	0	0	4	0	0	0
Journal of Intelligent Manufacturing	Springer	SpringerLink	10.1007/10845.1572-8145	10845	0956-5515	1572-8145	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Journal of Intensive Care	Springer	SpringerLink		40560		2052-0492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Interaction Science	Springer	SpringerLink	10.1007/40166.2194-0827	40166		2194-0827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of International Entrepreneurship	Springer	SpringerLink	10.1007/10843.1573-7349	10843	1570-7385	1573-7349	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Journal of International Migration and Integration	Springer	SpringerLink		12134	1488-3473	1874-6365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Journal of Internet Services and Applications	Springer	SpringerLink	10.1007/13174.1869-0238	13174	1867-4828	1869-0238	6	2	3	1	1	0	1	0	1	0	1	0	0	0	1
